state_fipcode,county_lookup,county_fipcode,city_lookup,city_fipcode
08,ELBERT,C039,AGATE,0008
41,LINCOLN,C041,AGATE BEACH,0015
25,HAMPDEN,C013,AGAWAM,0015
29,BUCHANAN,C021,AGENCY,0030
19,WAPELLO,C179,AGENCY,0060
20,REPUBLIC,C157,AGENDA,0040
21,HARLAN,C095,AGES,0030
41,CURRY,C015,AGNESS,0017
31,LANCASTER,C109,AGNEW,0027
05,FULTON,C049,AGNOS,0015
06,LOS ANGELES,C037,AGOURA,0008
06,LOS ANGELES,C037,AGOURA HILS,0011
20,PHILLIPS,C147,AGRA,0050
40,LINCOLN,C081,AGRA,0060
20,COFFEY,C031,AGRICOLA,0055
48,NUECES,C355,AGUA DULCE,0040
06,LOS ANGELES,C037,AGUA DULCE,0007
35,SANTA FE,C049,AGUA FRIA,0007
06,RIVERSIDE,C065,AGUANGA,0005
02,BETHEL,C050,AGUIKCHUK,0010
04,MARICOPA,C013,AGUILA,0005
08,LAS ANIMAS,C071,AGUILAR,0010
48,WEBB,C479,AGUILARES,0045
27,CASS,C021,AH GWAH CHING,0045
26,KEWEENAW,C083,AHMEEK,0030
37,HERTFORD,C091,AHOSKIE,0050
16,CLEARWATER,C035,AHSAHKA,0015
53,YAKIMA,C077,AHTANUM,0018
06,MADERA,C039,AHWAHNEE,0009
15,HONOLULU,C003,AIEA,0100
45,AIKEN,C003,AIKEN,0020
48,FLOYD,C153,AIKEN,0048
45,AIKEN,C003,AIKEN SOUTH,0025
45,AIKEN,C003,AIKEN WEST,0022
13,MONTGOMERY,C209,AILEY,0060
22,CATAHOULA,C025,AIMWELL,0032
31,BROWN,C017,AINSWORTH,0030
19,WASHINGTON,C183,AINSWORTH,0070
18,LAKE,C089,AINSWORTH,0016
08,EL PASO,C041,AIR FORCE ACADEMY,0006
29,JASPER,C097,AIRPORT DRIVE,0040
06,SAN MATEO,C081,AIRPORT-SAN FRANCISCO,0006
42,YORK,C133,AIRVILLE,0035
53,SPOKANE,C063,AIRWAY HEIGHTS,0022
42,HUNTINGDON,C061,AITCH,0036
27,AITKIN,C001,AITKIN,0050
04,PIMA,C019,AJO,0010
46,WALWORTH,C129,AKASKA,0030
04,PINAL,C021,AKCHIN,0012
27,HUBBARD,C057,AKELEY,0060
22,TANGIPAHOA,C105,AKERS,0034
02,KODIAK ISLAND,C150,AKHIOK,0020
02,BETHEL,C050,AKIACHAK,0030
02,BETHEL,C050,AKIAK,0040
17,FRANKLIN,C055,AKIN,0038
02,BETHEL,C050,AKOLMIUT,0045
38,PEMBINA,C067,AKRA,0025
08,WASHINGTON,C121,AKRON,0020
39,SUMMIT,C153,AKRON,0070
01,HALE,C065,AKRON,0040
26,TUSCOLA,C157,AKRON,0040
18,FULTON,C049,AKRON,0020
42,LANCASTER,C071,AKRON,0040
36,ERIE,C029,AKRON,0040
19,PLYMOUTH,C149,AKRON,0080
02,BETHEL,C050,AKULURAK,0050
02,WADE HAMPTON,C270,AKUMSUK,0055
02,ALEUTIANS EAST,C013,AKUTAN,0060
36,GENESEE,C037,ALABAMA,0042
01,SHELBY,C117,ALABASTER,0047
12,ALACHUA,C001,ALACHUA,0010
56,CROOK,C011,ALADDIN,0012
02,VALDEZ CORDOVA,C261,ALAGANIK,0065
